数据库：分省年度数据
指标：民用微型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.00,,,0.00,0.00,,0.00,0.01,0.04,0.20
天津市,0.10,0.07,0.07,0.07,0.11,0.22,0.31,0.42,0.67,0.79
河北省,0.62,0.66,0.89,0.93,1.18,1.67,2.04,2.48,3.04,4.64
山西省,0.65,0.69,0.79,1.40,1.55,1.68,1.79,1.80,2.15,3.94
内蒙古自治区,0.29,0.30,0.39,0.51,0.57,0.65,0.70,0.77,0.85,0.89
辽宁省,0.18,0.21,0.28,0.38,0.47,0.67,0.82,1.05,1.13,1.48
吉林省,0.16,0.29,0.20,0.28,0.35,0.45,0.56,0.55,0.51,0.51
黑龙江省,0.22,0.23,0.51,0.66,0.84,1.11,1.34,1.57,1.80,2.29
上海市,0.01,0.01,0.02,0.43,0.54,0.57,0.61,0.69,0.86,1.13
江苏省,0.16,0.17,0.20,0.27,0.36,0.54,0.68,0.82,1.11,1.73
浙江省,1.49,1.53,1.77,2.27,2.72,3.38,3.88,4.39,4.80,5.92
安徽省,0.25,0.30,0.37,0.47,0.56,0.76,0.94,1.03,1.19,1.52
福建省,0.58,0.67,0.68,0.83,1.00,1.19,1.40,1.75,2.18,2.67
江西省,0.11,0.14,0.17,0.24,0.33,0.43,0.53,0.56,0.64,0.74
山东省,0.45,0.50,0.60,0.91,1.26,1.91,2.47,3.18,4.23,5.36
河南省,7.01,0.50,0.64,0.98,1.20,1.58,1.82,2.65,3.73,4.70
湖北省,0.25,0.43,0.17,0.38,0.54,0.72,0.95,1.20,1.53,2.67
湖南省,0.16,0.17,0.19,0.21,0.23,0.28,0.34,0.38,0.44,0.78
广东省,3.49,3.38,3.22,3.24,3.08,2.77,2.83,3.15,3.59,4.14
广西壮族自治区,0.69,0.73,0.76,0.84,0.91,1.01,1.09,1.12,1.29,2.74
海南省,0.03,0.03,0.04,0.06,0.08,0.13,0.17,0.22,0.27,0.36
重庆市,0.00,0.01,0.01,0.02,0.17,0.17,0.21,0.81,1.16,1.17
四川省,0.18,0.22,0.27,0.38,0.56,0.85,1.02,1.26,1.64,3.33
贵州省,0.09,0.11,0.13,0.45,0.76,0.81,0.86,0.93,1.15,2.86
云南省,0.10,0.11,0.14,0.19,0.28,0.41,0.73,1.00,1.48,4.36
西藏自治区,0.11,0.13,0.15,0.21,0.22,0.24,0.28,0.26,0.34,0.28
陕西省,0.16,0.19,0.24,0.30,0.35,0.47,0.61,0.87,1.04,2.49
甘肃省,0.05,0.06,0.07,0.08,0.11,0.17,0.22,0.27,0.38,0.72
青海省,0.04,0.04,0.05,0.07,0.10,0.16,0.22,0.25,0.30,0.46
宁夏回族自治区,0.08,0.08,0.09,0.12,0.14,0.17,0.18,0.20,0.22,0.29
新疆维吾尔自治区,0.22,0.26,0.29,0.39,0.55,0.80,0.96,0.98,1.00,1.16
注：从2002年起，载客汽车和载货汽车拥有量的其中分项、其他汽车拥有量统计口径有调整与以前年份不可比。
数据来源：国家统计局
