数据库：分省年度数据
指标：私人其他汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.98,1.06,1.00,0.93,0.82,0.68,0.64,0.58,0.53,0.49
天津市,0.50,0.45,0.42,0.39,0.33,0.25,0.32,0.26,0.23,0.21
河北省,2.45,2.35,2.33,2.13,1.81,1.44,5.16,3.85,2.64,1.91
山西省,0.86,0.82,0.73,0.63,0.50,0.37,0.83,0.46,,0.18
内蒙古自治区,0.93,0.96,0.94,0.95,0.77,0.58,1.55,1.20,0.93,0.83
辽宁省,0.84,0.82,0.82,0.70,0.54,0.39,0.43,0.29,0.17,0.13
吉林省,0.53,0.49,0.45,0.41,0.31,0.23,0.39,0.29,0.19,0.12
黑龙江省,0.66,0.63,0.59,0.53,0.39,0.24,0.65,0.43,0.32,0.25
上海市,0.21,0.14,0.07,0.04,0.02,,,,,
江苏省,2.33,2.14,1.84,1.62,1.32,1.03,1.46,1.16,0.76,0.60
浙江省,0.84,0.82,0.73,0.64,0.53,0.42,0.46,0.42,0.39,0.35
安徽省,0.99,0.87,0.76,0.67,0.52,0.38,0.55,0.45,0.38,0.32
福建省,0.62,0.56,0.50,0.42,0.33,0.25,0.28,0.22,0.14,0.10
江西省,0.57,0.51,0.40,0.40,0.32,0.22,0.19,0.14,0.10,0.08
山东省,2.76,2.55,2.34,2.09,1.73,1.33,3.62,2.83,2.04,1.20
河南省,13.29,2.10,1.89,1.70,1.33,0.88,1.32,2.17,1.84,0.55
湖北省,1.16,0.95,0.79,0.67,0.53,0.39,0.61,0.46,0.00,0.23
湖南省,1.15,0.94,0.85,0.74,0.56,0.39,1.73,1.29,0.53,0.13
广东省,1.94,1.82,1.68,1.52,1.27,0.98,1.48,1.23,0.96,0.88
广西壮族自治区,0.83,0.77,0.57,0.43,0.32,0.21,0.25,0.18,0.12,0.10
海南省,0.19,0.17,0.16,0.13,0.10,0.07,0.09,0.06,,0.04
重庆市,0.38,0.38,0.40,0.13,0.29,0.25,0.19,0.17,0.18,0.10
四川省,1.28,1.20,1.07,0.95,0.76,0.56,0.47,0.34,1.40,0.19
贵州省,0.59,0.45,0.33,0.26,0.23,0.17,0.15,0.13,0.12,2.38
云南省,0.84,0.74,0.65,0.56,0.42,0.28,0.26,0.22,0.17,0.13
西藏自治区,0.12,0.06,0.07,0.02,0.00,0.01,0.00,0.02,,
陕西省,1.11,1.12,0.96,0.85,0.68,0.50,0.53,0.39,0.28,0.19
甘肃省,0.53,0.46,0.36,0.30,0.23,0.14,0.21,0.15,0.10,0.09
青海省,0.26,0.24,0.18,0.15,0.10,0.06,0.06,0.04,0.03,0.02
宁夏回族自治区,0.46,0.44,0.39,0.33,0.25,0.16,0.36,0.22,0.11,0.11
新疆维吾尔自治区,0.98,0.94,0.81,0.59,0.41,0.30,0.28,0.21,0.17,0.13
数据来源：国家统计局
