数据库：分省年度数据
指标：私人重型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,1.11,1.26,1.33,1.31,1.26,1.15,1.17,1.12,1.10,1.05
天津市,2.03,1.73,1.46,1.51,1.20,0.80,0.59,0.58,0.57,0.59
河北省,23.18,26.19,26.61,24.18,20.56,16.04,10.06,9.28,8.39,7.71
山西省,10.16,9.60,9.10,8.92,7.33,5.28,3.96,3.04,2.72,2.32
内蒙古自治区,6.66,7.10,7.06,11.17,10.43,9.31,7.80,7.32,7.01,8.46
辽宁省,5.06,4.55,4.87,4.15,3.24,2.37,1.51,1.61,1.51,1.65
吉林省,6.30,5.93,5.25,5.49,4.59,3.28,2.04,1.88,1.65,1.50
黑龙江省,8.66,7.97,7.85,7.92,6.45,4.79,2.76,2.38,2.08,2.03
上海市,0.08,0.04,0.03,0.02,0.01,0.01,0.00,,,
江苏省,14.84,14.10,12.41,10.76,8.42,5.49,2.84,2.51,2.00,1.75
浙江省,3.31,3.51,3.26,2.96,2.46,1.78,1.24,1.26,1.33,1.27
安徽省,3.43,3.15,3.08,3.35,2.81,2.19,1.52,1.36,1.16,0.95
福建省,2.64,2.26,2.08,1.87,1.56,1.15,0.77,0.74,0.61,0.50
江西省,2.69,2.30,1.85,2.67,2.36,1.98,1.68,1.73,1.69,1.64
山东省,13.88,15.37,16.85,18.27,17.10,12.78,6.05,5.25,4.59,4.02
河南省,15.15,10.29,10.03,9.42,7.79,6.11,4.37,4.26,3.57,3.43
湖北省,5.92,5.12,4.59,4.10,3.33,2.51,1.44,1.22,1.02,0.88
湖南省,7.64,6.70,6.22,5.99,4.98,4.01,3.04,2.77,2.49,2.31
广东省,8.36,7.70,7.50,6.99,6.32,5.24,4.17,4.64,4.80,5.88
广西壮族自治区,5.18,5.43,4.73,3.85,3.14,2.36,1.61,1.46,1.28,1.19
海南省,0.70,0.68,0.73,0.78,0.70,0.60,0.59,0.63,0.64,0.64
重庆市,0.53,0.48,0.43,0.36,1.26,1.13,1.08,1.12,1.21,1.19
四川省,6.54,6.54,5.90,5.04,4.04,2.80,1.57,1.20,2.23,0.93
贵州省,3.08,2.55,2.18,2.62,2.96,2.54,2.27,2.26,2.23,2.78
云南省,6.68,6.14,6.38,5.84,4.87,3.69,2.99,2.80,2.74,2.93
西藏自治区,1.61,1.65,1.58,1.86,1.66,1.60,1.03,2.08,1.68,1.32
陕西省,6.90,6.36,5.78,4.82,3.74,2.38,1.27,1.02,0.82,0.65
甘肃省,4.04,3.70,3.39,3.06,2.63,1.98,1.46,1.30,1.26,1.24
青海省,0.98,1.01,1.01,0.96,0.81,0.64,0.52,0.43,0.38,0.32
宁夏回族自治区,3.78,3.51,3.14,2.71,2.18,1.58,0.92,0.70,0.52,0.42
新疆维吾尔自治区,1.56,1.48,1.47,1.34,1.25,1.17,0.96,0.94,0.94,0.95
数据来源：国家统计局
