数据库：分省年度数据
指标：新注册民用中型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.14,0.15,0.17,0.22,0.36,0.75,0.84,0.16,0.22,0.25
天津市,0.15,0.14,0.10,0.11,0.19,0.12,0.20,0.12,0.11,0.10
河北省,0.42,0.43,0.47,0.63,0.07,1.01,0.59,0.07,0.70,2.48
山西省,0.08,0.10,0.13,0.15,0.27,0.28,0.63,0.65,0.44,0.44
内蒙古自治区,0.08,0.10,0.12,0.17,0.21,0.20,0.22,0.07,0.03,0.27
辽宁省,0.27,0.43,0.45,0.54,0.70,0.68,0.27,0.36,0.31,0.34
吉林省,0.12,0.16,0.14,0.30,0.50,0.58,0.13,0.26,0.12,0.16
黑龙江省,0.33,0.35,0.36,0.56,0.87,1.22,0.58,0.11,0.22,0.18
上海市,0.57,0.81,0.55,0.55,0.67,0.40,0.31,0.61,0.67,0.67
江苏省,0.97,1.13,1.11,1.37,1.77,1.31,0.90,1.05,0.95,1.00
浙江省,0.50,0.46,0.42,0.52,0.73,0.53,0.54,0.79,0.68,0.51
安徽省,0.31,0.33,0.34,0.41,0.55,0.48,0.49,0.79,0.78,0.68
福建省,0.23,0.28,0.25,0.31,0.41,0.37,0.43,0.64,0.49,0.34
江西省,0.46,0.61,0.55,0.73,0.85,0.47,0.67,0.58,0.64,0.63
山东省,0.53,0.68,0.88,1.23,1.59,2.25,0.92,0.68,0.68,0.64
河南省,0.30,0.47,0.60,0.60,1.04,1.09,0.99,1.36,1.10,1.20
湖北省,0.54,0.74,0.73,0.73,1.16,1.14,1.46,0.41,0.55,0.55
湖南省,0.53,0.62,0.68,0.84,1.36,1.27,0.24,0.29,0.21,0.36
广东省,1.23,1.20,1.06,1.31,1.71,0.85,0.76,0.97,0.95,0.93
广西壮族自治区,0.37,0.64,0.73,0.74,0.92,0.96,0.26,0.83,0.52,0.41
海南省,0.13,0.15,0.12,0.18,0.22,0.15,0.10,0.09,0.05,0.05
重庆市,0.19,0.32,0.37,0.59,0.93,0.98,1.29,0.87,0.83,1.09
四川省,0.46,0.74,0.97,1.06,1.54,2.25,1.30,0.51,1.35,1.39
贵州省,0.26,0.46,0.57,0.68,1.02,0.91,0.93,0.60,0.28,0.50
云南省,0.39,0.56,0.67,0.99,1.74,1.41,1.66,1.47,0.91,1.46
西藏自治区,0.12,0.22,0.13,0.10,0.12,0.05,0.11,0.06,0.10,0.28
陕西省,0.16,0.21,0.34,0.55,0.85,1.17,0.96,0.80,0.38,0.21
甘肃省,0.19,0.31,0.31,0.37,0.68,0.67,0.25,0.30,0.43,0.18
青海省,0.06,0.10,0.10,0.14,0.16,0.13,0.00,0.00,0.02,0.02
宁夏回族自治区,0.07,0.09,0.11,0.15,0.19,0.17,0.12,0.05,0.05,0.08
新疆维吾尔自治区,0.26,0.36,0.48,0.49,0.47,0.45,0.00,0.20,0.02,0.16
数据来源：国家统计局
