数据库：分省年度数据
指标：新注册民用重型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.78,0.79,0.67,0.72,0.97,1.29,0.46,0.11,0.15,0.17
天津市,0.97,0.86,0.63,0.74,0.84,0.32,0.08,0.08,0.05,0.05
河北省,6.79,8.64,6.08,7.59,0.55,4.98,1.79,0.18,1.54,4.28
山西省,2.34,2.68,2.62,3.87,5.46,2.45,2.62,1.06,0.68,0.57
内蒙古自治区,0.66,1.07,1.48,2.77,3.49,1.59,1.53,0.46,0.23,1.22
辽宁省,1.78,2.28,1.99,3.37,3.57,1.86,0.69,0.76,0.64,0.65
吉林省,1.15,1.44,1.19,1.63,2.07,1.16,0.22,0.33,0.31,0.21
黑龙江省,0.64,1.26,1.39,2.48,2.77,1.80,0.43,0.08,0.31,0.29
上海市,1.51,1.73,1.07,1.07,1.12,0.48,0.24,0.28,0.24,0.17
江苏省,3.84,4.56,3.56,5.01,4.46,2.54,1.07,1.35,1.00,0.61
浙江省,2.23,2.36,1.54,2.13,2.59,1.49,0.33,0.40,0.33,0.19
安徽省,4.24,4.88,3.67,4.39,4.59,2.81,1.05,1.06,0.76,0.49
福建省,1.52,1.72,1.07,1.36,1.62,0.96,0.41,0.58,0.48,0.25
江西省,2.55,2.17,1.73,2.18,2.60,1.38,1.06,0.89,0.93,0.49
山东省,7.10,6.46,4.76,5.95,7.82,6.42,1.37,1.09,1.15,0.79
河南省,3.08,6.54,5.29,5.11,7.01,4.04,1.23,1.07,0.79,1.20
湖北省,2.32,2.31,1.61,1.40,1.85,1.16,0.89,0.29,0.38,0.37
湖南省,2.02,1.85,1.26,1.70,1.66,0.86,0.39,0.28,0.16,0.23
广东省,4.20,3.87,2.05,2.65,3.14,1.52,0.66,0.74,0.62,0.60
广西壮族自治区,1.59,1.87,1.39,1.52,2.22,1.38,0.27,0.80,0.43,0.31
海南省,0.15,0.16,0.11,0.21,0.25,0.13,0.09,0.06,0.03,0.04
重庆市,1.21,1.86,1.01,1.57,1.32,0.78,2.67,0.86,0.73,0.53
四川省,2.52,3.10,2.33,3.22,3.49,2.49,0.99,0.29,0.56,0.37
贵州省,1.39,1.33,0.81,1.05,0.96,0.53,0.34,0.29,0.13,0.26
云南省,1.39,1.56,1.13,1.82,2.11,0.96,0.69,0.50,0.21,0.56
西藏自治区,0.24,0.25,0.16,0.17,0.12,0.06,0.04,0.04,0.07,0.16
陕西省,1.59,2.37,1.79,2.33,3.62,2.07,0.84,0.73,0.44,0.41
甘肃省,1.14,1.31,0.96,1.21,1.79,0.93,0.24,0.27,0.33,0.27
青海省,0.49,0.38,0.28,0.43,0.39,0.20,0.00,0.00,0.07,0.05
宁夏回族自治区,0.35,0.62,0.58,0.91,0.89,0.41,0.32,0.22,0.13,0.14
新疆维吾尔自治区,1.30,1.64,1.80,2.12,1.62,1.00,0.01,0.29,0.03,0.38
数据来源：国家统计局
