数据库：分省年度数据
指标：新注册民用轻型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,3.15,2.47,2.43,2.20,1.80,2.46,1.53,0.51,0.56,0.92
天津市,3.46,2.43,2.17,1.94,2.50,1.82,1.36,1.47,1.06,0.87
河北省,14.07,13.29,12.81,12.16,1.72,10.81,3.87,0.44,3.85,9.20
山西省,3.73,4.23,4.22,4.14,4.30,3.67,2.62,1.97,1.89,2.02
内蒙古自治区,3.37,3.96,4.49,4.63,4.37,3.39,2.36,0.71,0.23,0.50
辽宁省,3.83,5.59,4.69,6.39,7.58,6.59,2.37,2.05,2.38,2.47
吉林省,3.03,3.15,3.03,3.04,3.36,2.85,0.91,1.09,0.77,0.75
黑龙江省,2.85,4.01,4.19,4.22,4.94,4.55,2.00,0.28,1.31,1.13
上海市,1.17,1.08,0.64,0.68,0.78,0.62,0.71,0.96,1.18,1.05
江苏省,5.43,5.57,5.21,5.22,6.05,4.21,2.62,2.53,2.36,2.33
浙江省,12.43,10.53,9.94,10.01,12.09,8.38,5.04,5.60,5.47,5.03
安徽省,7.02,7.37,6.66,5.97,7.28,5.75,3.17,2.57,2.50,2.29
福建省,6.23,6.67,6.30,6.08,6.11,4.19,2.86,3.13,2.96,2.31
江西省,5.41,5.44,5.13,4.24,4.30,3.19,1.74,1.17,1.36,1.05
山东省,17.18,16.39,14.19,10.45,14.07,13.08,5.96,5.13,5.98,5.11
河南省,10.83,11.44,10.73,7.08,9.89,7.89,3.51,2.94,2.54,2.96
湖北省,5.73,6.02,5.62,4.08,6.23,5.88,3.43,1.53,2.19,1.86
湖南省,6.21,6.53,6.10,5.47,6.30,4.79,0.91,0.73,1.31,1.20
广东省,17.51,14.15,12.04,12.46,13.24,9.13,7.30,8.92,8.77,8.11
广西壮族自治区,4.66,4.71,4.78,4.39,4.33,3.46,0.74,2.19,1.51,1.22
海南省,1.23,1.23,1.21,1.34,1.38,0.93,0.70,0.54,0.40,0.36
重庆市,3.34,3.91,3.52,3.33,3.37,2.81,1.78,1.51,1.44,1.51
四川省,6.21,7.25,6.94,6.54,7.90,7.81,3.33,0.81,3.07,2.74
贵州省,5.87,5.83,4.97,3.88,3.65,3.45,2.09,1.91,1.43,1.28
云南省,7.62,7.79,7.54,6.78,6.88,5.30,3.79,3.55,2.43,2.37
西藏自治区,1.02,1.22,0.65,0.53,0.55,0.41,0.10,0.09,0.19,0.09
陕西省,4.48,4.60,4.59,4.21,4.55,3.28,1.78,1.25,0.98,0.58
甘肃省,4.63,4.89,4.14,3.61,4.13,2.94,0.93,1.10,0.65,0.78
青海省,1.50,1.58,1.40,1.33,1.30,1.04,0.04,0.03,0.32,0.13
宁夏回族自治区,2.49,2.53,2.42,2.12,2.05,1.41,0.73,0.50,0.43,0.68
新疆维吾尔自治区,4.85,5.56,5.44,5.02,4.48,3.03,0.09,1.54,0.18,1.05
数据来源：国家统计局
